input_metric,output_metric,corr,abs_corr,n_obs
cop_winter_mean,curtailment_PV_ground_mwh,-0.267194112776045,0.267194112776045,86
dark_doldrums_hours,electrolyser_total_mw,0.2657204840663716,0.2657204840663716,86
cf_vres_combined_annual,curtailment_PV_ground_mwh,-0.2636449919415198,0.2636449919415198,86
dark_doldrums_hours,gen_wind offshore_mwh,-0.2635349179246723,0.2635349179246723,86
heat_demand_annual_mwh,gen_PV ground_mwh,0.262381468326278,0.262381468326278,86
stress_score,curtailment_PV_ground_mwh,0.26209293247660953,0.26209293247660953,86
stress_persistence_block,gen_nuclear_mwh,0.2612612053883555,0.2612612053883555,86
dark_doldrums_hours,curtailment_share_pu,-0.2600715561102291,0.2600715561102291,86
stress_persistence_block,gen_PV ground_mwh,0.25779995224598495,0.25779995224598495,86
cop_annual_mean,h2_pipeline_total_mw,-0.25768294927905383,0.25768294927905383,86
stress_score,curtailment_share_pu,-0.2561830016688102,0.2561830016688102,86
cf_vres_combined_annual,h2_network_abs_flow_mwh,-0.2557040814789865,0.2557040814789865,86
cf_vres_combined_winter,h2_pipeline_total_mw,-0.25564555171081216,0.25564555171081216,86
stress_score,storage_power_flow_mw,-0.2544563161972078,0.2544563161972078,86
cop_winter_mean,gen_wind_mwh,0.2530594687710196,0.2530594687710196,86
stress_score,h2_pipeline_total_mw,0.2506607847655981,0.2506607847655981,86
wind_drought_max_hours,gen_wind offshore_mwh,-0.2500174999116314,0.2500174999116314,86
heat_demand_annual_mwh,h2_pipeline_total_mw,0.24896346799999308,0.24896346799999308,86
cop_annual_mean,h2_network_abs_flow_mwh,-0.24893323725448696,0.24893323725448696,86
stress_energy_block,transmission_mean_utilisation,0.24853288484734717,0.24853288484734717,86
elec_for_heat_annual_mwh,h2_pipeline_total_mw,0.24681916257528805,0.24681916257528805,86
cop_winter_mean,electrolyser_total_mw,-0.24155263112442973,0.24155263112442973,86
dark_doldrums_hours,storage_power_hot_water_mw,0.24006110088691565,0.24006110088691565,86
stress_score,transmission_mean_utilisation,0.23874466604077374,0.23874466604077374,86
heat_demand_annual_mwh,h2_network_abs_flow_mwh,0.23847165048608962,0.23847165048608962,86
elec_for_heat_annual_mwh,h2_network_abs_flow_mwh,0.23793511866427045,0.23793511866427045,86
cf_vres_combined_winter,curtailment_wind_offshore_share,0.23743407624621046,0.23743407624621046,86
cf_vres_combined_winter,curtailment_PV_ground_share,-0.23589277385261456,0.23589277385261456,86
cop_annual_mean,gen_Natural gas_mwh,-0.2347819935010004,0.2347819935010004,86
cold_stress_hours_cop_lt2,objective,0.23385259457755173,0.23385259457755173,86
cop_winter_mean,transmission_mean_utilisation,-0.23277585026834702,0.23277585026834702,86
stress_score,h2_network_abs_flow_mwh,0.2319123819715336,0.2319123819715336,86
cf_vres_combined_annual,gen_wind offshore_mwh,0.23130628750055127,0.23130628750055127,86
dark_doldrums_hours,gen_Natural gas_mwh,0.22760694424291325,0.22760694424291325,86
stress_energy_block,storage_power_hydrogen_storage_mw,0.22615750942816495,0.22615750942816495,86
stress_persistence_block,gen_wind offshore_mwh,-0.22516877176292266,0.22516877176292266,86
cf_vres_combined_winter,curtailment_PV_ground_mwh,-0.22382433081337452,0.22382433081337452,86
cold_stress_hours_cop_lt2,gen_Biogas plant_mwh,0.22207205744684544,0.22207205744684544,86
cold_stress_hours_cop_lt2,h2_pipeline_total_mw,0.22050322260224686,0.22050322260224686,86
stress_score,curtailment_total_mwh,-0.22032241059584684,0.22032241059584684,86
cop_annual_mean,elec_transmission_total_mw,-0.21988825508855625,0.21988825508855625,86
stress_score,curtailment_wind_share,0.21808012919710223,0.21808012919710223,86
cold_stress_hours_cop_lt2,storage_power_hydrogen_storage_other_mw,0.2167206648751904,0.2167206648751904,86
cold_stress_hours_cop_lt2,electrolyser_total_mw,0.21602470172491697,0.21602470172491697,86
cf_vres_combined_winter,h2_network_abs_flow_mwh,-0.21564856851188777,0.21564856851188777,86
stress_persistence_block,cap_gen_Natural gas_mw,0.21482730343873785,0.21482730343873785,86
cf_vres_combined_annual,curtailment_wind_share,-0.21400589844605,0.21400589844605,86
elec_for_heat_peak_mw,curtailment_wind_mwh,0.21222347362370497,0.21222347362370497,86
cold_stress_hours_cop_lt2,cap_gen_PV ground_mw,0.2119058190755847,0.2119058190755847,86
stress_persistence_block,storage_power_hot_water_mw,0.2109759310244313,0.2109759310244313,86
stress_energy_block,curtailment_wind_share,0.21088412989576427,0.21088412989576427,86
heat_demand_peak_mw,storage_power_flow_mw,-0.21065656148976905,0.21065656148976905,86
stress_persistence_block,storage_power_flow_mw,-0.21050888858518488,0.21050888858518488,86
